중소벤처기업협회 공시자료 기준 : http://diva.kvca.or.kr/div/dic/DivDisclsListInq (기준 일자 : 22.02.22),,,,,,,,,
회사명,전화번호,팩스번호,홈페이지주소,종업원수,사업자번호,결산월,주소,설립일자,공시담당자
아이디벤처스,25569300,02-556-0062,www.id-vc.com,12명 (남:9명/여:3명),220-88-38530,12월,"(06211)  서울 강남구 테헤란로 312   역삼동, 비젼타워 10층",2012-05-18,"이혜란 부장
(02-556-9300)"
아이디어브릿지파트너스,031-5182-9098,031-5182-9099,0,4명 (남:2명/여:2명),513-81-89816,12월,(13449)  경기도 성남시 수정구 대왕판교로 815   판교창조경제밸리 기업지원허브 P840,2016-03-25,"임하선 부장
(031-5182-9098)"
아이디지캐피탈파트너스코리아,02-558-7488,02-558-6988,0,8명 (남:6명/여:2명),539-87-00173,12월,(06193)  서울특별시 강남구 테헤란로 420   11층 IDG Capital,2015-10-23,"박승준 주임
(025587488)"
아이비엑스파트너스,02-6212-9800,02-6213-9800,0,4명 (남:2명/여:2명),175-81-01281,12월,(06036)  서울특별시 강남구 도산대로 145   8층,2019-01-11,"심다빈 주임
(010-4018-8511)"
아이스퀘어벤처스,02-6920-6500,02-6920-6599,0,10명 (남:6명/여:4명),894-81-01820,12월,(28126)  충청북도 청주시 청원구 오창읍 각리1길 97   충북SW융합센터 405호,2020-07-20,"이윤정 대리
(02-6920-6500)"
아이엠엠인베스트먼트,02-2112-1777,02-2112-1778,0,56명 (남:33명/여:23명),104-81-46665,12월,"(06236)  서울특별시 강남구 테헤란로 152, 5층   (역삼동, 강남파이낸스센터)",1999-07-15,"이성유 팀장
(01091953651)"
아주아이비투자,02-3451-9200,0,0,52명 (남:40명/여:12명),116-81-41872,12월,"(06141)  서울특별시 강남구 역삼1동   아주빌딩 3층, 4층, 5층",1974-09-09,"정대석 본부장
(02-3451-9238)"
안다아시아벤처스,02-569-6706,02-569-6709,0,8명 (남:6명/여:2명),505-88-02175,12월,"(06194)  서울특별시 강남구 테헤란로78길 12 (대치동, MSA빌딩)   MSA빌딩 13층 안다아시아벤처스",2021-10-05,"염현혜 과장
(02-569-6706)"
알바트로스인베스트먼트,070-4924-5090,02-703-0231,-,10명 (남:7명/여:3명),105-87-20321,12월,(13494)  경기도 성남시 분당구 대왕판교로 670   유스페이스2 A동 7층,2008-05-21,"양윤미 차장
(070-4924-5099)"
알파원 인베스트먼트,02-2051-7701,02-2051-7702,0,7명 (남:7명/여:0명),278-81-01902,12월,"(06125)  서울특별시 강남구 논현로 563   6층 (역삼동, 언주타워)",2020-07-28,"송동건 이사
(02-2051-7701)"
어니스트벤처스,031-776-4770,031-776-4776,0,8명 (남:7명/여:1명),814-87-00356,12월,(13487)  경기 성남시 분당구 대왕판교로645번길 12   경기창조경제혁신센터 8층,2016-02-17,"하종삼 팀장
(031-776-4770)"
어센도벤처스,010-3008-1188,02-2051-1524,www.ascendovc.com,5명 (남:4명/여:1명),628-81-00786,12월,(06247)  서울특별시 강남구 역삼로 165   해성빌딩,2017-10-17,"김지안 과장
(01058151254)"
에버그린투자파트너스,02-2055-2866,02-2055-2867,0,4명 (남:3명/여:1명),637-81-00252,12월,"(06792)  서울특별시 서초구 헌릉로 7   803호 804호 (염곡동, Invest Korea Plaza)",2015-11-17,"김지수 주임
(02-2055-2866)"
에스디벤처캐피탈,02-544-9326,02-544-9528,0,4명 (남:4명/여:0명),107-81-73860,12월,(06052)  서울시 강남구 학동로31길 18(논현동)  ,1999-12-03,"최성욱 이사
(02-514-6304)"
에스브이인베스트먼트,237751020,237751021,www.svinvest.com,35명 (남:31명/여:4명),107-86-77065,03월,"(07326)  서울특별시 영등포구 국제금융로 10   46층(여의도동, 쓰리아이에프씨)",2006-04-05,"심정연 팀장
(02-3775-0080)"
에스비아이인베스트먼트,02-2139-9200,02-2139-9260,0,42명 (남:27명/여:15명),120-81-64573,12월,"(06169)  서울특별시 강남구 테헤란로 509 (삼성동 158-16,엔씨소프트 R&D센터)   ,14층",1986-11-24,"박준범 차장
(02-2139-9254)"
에스비파트너스,02-3475-3212,234753220,0,7명 (남:4명/여:3명),814-85-00371,12월,(47540)  부산광역시 연제구 중앙대로 1079   장천빌딩 6층,2017-06-30,"서문정 과장
(0234753213)"
에스엘인베스트먼트,02-6241-5400,02-6241-5412,www.slinvestment.com,15명 (남:10명/여:5명),201-81-28804,12월,(06164)  서울특별시 강남구 영동대로   517 (삼성동 159-1) 아셈타워 25층,2000-02-23,"고영선 부장
(02-6241-5409)"
에스엠비투자파트너스,02-559-0913,02-2051-0900,0,8명 (남:5명/여:3명),206-81-21316,12월,(44209)  울산광역시 북구 신답로 48   2층,2000-01-26,"심선식 대표이사
(02-559-0905)"
에스엠시노기술투자,02-6004-5080,02-719-7030,www.smsino.co.kr,12명 (남:9명/여:3명),255-81-00083,12월,(04168)  서울특별시 마포구 새창로 11   9층 901호 (공덕빌딩),2015-06-05,"이규민 대리
(02-6004-5080)"
SJ벤처인베스트먼트,02-561-3004,02-512-3008,www.sj-vi.com,11명 (남:9명/여:2명),120-81-96167,12월,(06054)  서울시 강남구 언주로 732   (논현동세종빌딩),1999-11-30,"백선종 전무
(02-561-3004)"
에스제이투자파트너스,02-512-0707,02-512-3763,www.sjinvest.co.kr,12명 (남:8명/여:4명),211-88-48145,12월,"(06178)  서울특별시 강남구 삼성로86길 7,   11층(대치동,삼성빌딩)",2010-08-24,"이지은 부장
(01027246764)"
에쓰비인베스트먼트,02-3445-5011,02-3445-6141,www.sbinvestment.co.kr,8명 (남:6명/여:2명),617-86-23353,12월,(48513)  부산광역시 남구 용소로 93 (대연동 599-20)   3층,2014-11-10,"양지유 사원
(02-3445-5011)"
에이벤처스,02-6389-7000,02-6389-7100,0,10명 (남:8명/여:2명),552-87-01103,12월,(06178)  서울특별시 강남구 삼성로86길 7   삼성빌딩 7층,2018-08-27,"임병훈 팀장
(02-6389-7005)"
에이스톤벤처스,02-551-7603,02-551-7600,0,4명 (남:2명/여:2명),684-86-02227,12월,"(06164)  서울특별시 강남구 테헤란로87길 22   517호 (삼성동,한국도심공항터미널 )",2021-01-04,"권영혜 상무
(02-551-7603)"
에이아이피벤처파트너스,02-6952-2380,02-6952-2377,0,4명 (남:3명/여:1명),683-87-01616,12월,"(07326)  서울특별시 영등포구 국제금융로 10   43층, AIP벤처파트너스",2020-03-02,"배윤경 대리
(02-6952-2380)"
에이온인베스트먼트,02-544-5677,02-544-5676,0,4명 (남:3명/여:1명),362-86-02308,12월,"(06036)  서울특별시 강남구 논현로151길 48 (신사동, 더페이퍼빌딩)   4층",2021-10-27,"이수연 이사
(010-8200-4742)"
에이지인베스트먼트,02-722-7770,02-722-7769,0,7명 (남:5명/여:2명),482-88-00291,12월,(03061)  서울특별시 종로구 율곡로3길 74-12  ,2016-01-22,"김명은 대리
(02-722-7770)"
에이치비인베스트먼트,02-3448-5622,02-3448-5630,www.hbvc.co.kr,14명 (남:8명/여:6명),107-81-72798,12월,"(06024)  서울시 강남구 언주로 819   신사동, HB빌딩 5층",1999-11-11,"윤연희 부장
(02-3448-5622)"
에이치지이니셔티브,02-6212-9769,070-8833-9769,www.hginitiative.com,18명 (남:6명/여:12명),206-86-90633,12월,(04779)  서울특별시 성동구 뚝섬로1나길 5   헤이그라운드 G202,2014-04-25,"이예은 과장
(010-7920-8977)"
에이티넘인베스트먼트,02-555-0781,02-557-2570,www.atinuminvest.co.kr,26명 (남:18명/여:8명),124-81-36410,12월,(06173)  서울 강남구 테헤란로 103길 9   제일빌딩,1988-10-10,"김근혜 차장
(02-555-0781)"
에트리홀딩스,042-860-0777,042-860-0788,0,9명 (남:8명/여:1명),314-86-15139,12월,"(34129)  대전광역시 유성구 가정로 218 (가정동 161,한국전자통신연구원)   융합기술연구생산센터 303호",2010-05-14,"박상표 과장
(042-860-0787)"
에프브이인베스트먼트,02-6951-3040,02-6951-3042,0,5명 (남:3명/여:2명),655-86-01346,12월,(06154)  서울특별시 강남구 봉은사로 460   금척타워 6층,2018-12-03,"황경선 팀장
(070-5100-5499)"
에프엠씨 인베스트먼트,513161611,513161614,0,6명 (남:5명/여:1명),218-81-73103,12월,"(48547)  부산광역시 남구 신선로 365   516호 ( 용당동, 부경대학교용당캠퍼스제10공학관)",2019-10-18,"강주은 팀장
(010-6858-5802)"
엔브이씨 파트너스,051-914-0938,051-914-0939,0,9명 (남:8명/여:1명),146-86-01274,12월,"(48059)  부산광역시 해운대구 센텀동로 45   웹스빌딩 4층(우동,웹스빌딩)",2018-08-21,"임용현 사원
(010-2902-5927)"
엔블록인베스트먼트,02-599-8001,02-6954-2734,0,3명 (남:3명/여:0명),705-88-01096,12월,"(06160)  서울특별시 강남구 테헤란로 415   오피스동 223호 (삼성동, L7강남타워)",2018-09-01,"송진오 대표이사
(010-5311-6948)"
엔피엑스벤처스,02-564-8348,5078048416,0,9명 (남:7명/여:2명),711-87-02322,12월,(04782)  서울특별시 성동구 연무장5가길 14 (성수동2가)  ,2021-10-13,"장동진 이사
(01035336425)"
LB인베스트먼트,02-3467-0523,02-3467-0530,0,36명 (남:28명/여:8명),120-81-63249,12월,(06179)  서울특별시 강남구 테헤란로 512   신안빌딩 13층,1996-07-04,"조은정 차장
(02-3467-0516)"
엘앤에스벤처캐피탈,02-501-1031,02-501-1029,www.lnsvc.co.kr/,18명 (남:13명/여:5명),120-87-07123,12월,"(06178)  서울특별시 강남구 테헤란로 504   7층(대치동, 해성빌딩)",2006-10-20,"정아림 과장
(02-501-1237)"
엘에스케이인베스트먼트,02-553-9631,02-553-9632,www.lski.co.kr,11명 (남:7명/여:4명),625-81-00297,12월,(06223)  서울특별시 강남구 논현로 430   6층,2016-04-11,"한승아 대리
(070-4167-0199)"
엠벤처투자,02-6000-5533,02-6000-5659,www.m-vc.co.kr,16명 (남:13명/여:3명),116-81-15961,12월,(06164)  서울 강남구 테헤란로87길 36   2503호,1986-12-02,"김다혜 사원
(02-6000-5532)"
엠오벤처스,051-301-1698,051-304-1698,0,7명 (남:7명/여:0명),731-81-01698,12월,(46017)  부산광역시 기장군 정관읍 정관중앙로 27 (정관읍)   423호(줌시티오피스텔),2020-05-04,"배만성 대리
(010-5491-2324)"
엠와이소셜컴퍼니,02-532-1110,0,www.mysc.co.kr,12명 (남:6명/여:6명),214-88-87695,12월,"(04779)  서울특별시 성동구 뚝섬로1나길 5   헤이그라운드 G402, G406",2011-12-12,"정재우 과장
(02-532-1126)"
엠케이벤처스,02-569-9078,02-569-9079,0,3명 (남:3명/여:0명),878-87-00137,12월,"(06164)  서울특별시 강남구 삼성로96길 6   905호 (삼성동,LG트윈텔 1차)",2015-07-22,"윤호기 이사
(010-2384-8411)"
연세대학교기술지주,02-2123-5156,02-2123-8620,www.ysuholdings.com,12명 (남:7명/여:5명),131-86-28927,12월,(21983)  인천광역시 연수구 송도과학로 85   연세대학교 국제캠퍼스 종합관 1층 103호,2011-05-31,"서수지 대리
(0221235174)"
오라클벤처투자,02-2039-1641,02-2039-1646,0,4명 (남:4명/여:0명),417-86-02398,12월,"(06109)  서울특별시 강남구 언주로 603 (논현동, 서진빌딩)   5층",2021-10-21,"서정일 차장
(010-8955-0125)"
오엔벤처투자,02-564-0086,02-569-0086,0,5명 (남:3명/여:2명),564-86-01832,12월,(06178)  서울특별시 강남구 삼성로86길 11   거봉INC빌딩 7층 오엔벤처투자,2020-05-27,"이현경 상무
(070-8859-4206)"
오픈워터인베스트먼트,02-6951-2223,02-6951-2224,www.openwaterinv.co.kr/,8명 (남:7명/여:1명),677-87-01469,12월,(06168)  서울특별시 강남구 삼성로96길 14   중아빌딩 6층,2019-07-04,"태연진 팀장
(01056416352)"
와이얼라이언스인베스트먼트,02-6205-0210,02-6205-0211,www.y-alliance.com/,3명 (남:3명/여:0명),319-86-01396,12월,(06035)  서울특별시 강남구 삼성로86길11   거봉INC빌딩 402호,2019-07-07,"고재범 부장
(010-3043-1866)"
와이즈레터인베스트먼트,02-546-1555,02-549-1555,www.ysletter.com,3명 (남:1명/여:2명),313-86-01836,12월,(06034)  서울특별시 강남구 강남대로158길 17   신사동 레드포인트빌딩 4층,2020-06-09,"김민주 팀장
(025461555)"
우리인베스트먼트,02-3444-5335,02-3444-5344,www.wooric.com,2명 (남:2명/여:0명),211-87-46586,12월,(06627)  서울특별시 서초구 강남대로 327   대륭서초타워 18층,2004-03-11,"박성민 상무
(02-3444-5335)"
우신벤처투자,02-538-5906,02-567-3184,www.wooshinvc.com,8명 (남:7명/여:1명),220-81-00883,12월,(06223)  서울특별시 강남구 논현로 430 아세아타워   1층,1986-11-20,"송면경 대리
(02-538-5906)"
원익투자파트너스,02-6446-7125,02-6446-7199,www.wiipco.com,26명 (남:20명/여:6명),314-81-19654,12월,"(06178)  서울특별시 강남구 테헤란로 504   5층(대치동, 해성1빌딩)",1997-08-16,"황윤채 과장
(02-6446-7125)"
위벤처스,02-565-6671,02-565-6672,0,11명 (남:6명/여:5명),378-88-01327,12월,(06181)  서울특별시 강남구 테헤란로 524   10층 3호,2019-04-12,"채종민 팀장
(02-565-6674)"
윈베스트벤처투자,02-565-3626,02-565-3484,0,6명 (남:5명/여:1명),120-86-07859,12월,(06167)  서울 강남구 테헤란로 87길 33   융전빌딩 9층,2000-07-01,"김면구 상무
(02-565-3626)"
유니온투자파트너스,02-594-8470,02-594-8470,0,14명 (남:7명/여:7명),107-81-77401,12월,"(06159)  서울특별시 강남구 테헤란로 425 (삼성동, 신일빌딩)   14층",2000-02-15,"김윤하 대리
(02-594-8470)"
유니콘네스트창업투자,269337670,269304251,0,7명 (남:3명/여:4명),241-86-01211,12월,(06095)  서울특별시 강남구 봉은사로 479   479타워 16층,2018-08-17,"김정훈 대리
(010-6740-9098)"
유안타인베스트먼트,02-561-0056,02-561-9191,www.yuantainvest.com,25명 (남:20명/여:5명),120-81-53606,12월,(04538)  서울특별시 중구 을지로 76   유안타증권빌딩 12층,1989-04-22,"염은주 과장
(02-561-0056)"
유티씨인베스트먼트,02-783-3347,02-783-3551,www.utc.co.kr,20명 (남:13명/여:7명),116-81-55416,03월,(07241)  서울시 영등포구 여의공원로 111   2층,1988-04-14,"배재은 차장
(02-783-7566)"
이노폴리스파트너스,02-541-4838,0,0,9명 (남:7명/여:2명),120-87-00187,03월,(06060)  서울특별시 강남구 선릉로 131길 9   하나빌딩 5층,2006-04-10,"홍성미 사원
(025410940)"
이랜드벤처스,02-6402-6002,02-6402-6003,0,2명 (남:1명/여:1명),373-86-01876,12월,(07931)  서울특별시 양천구 국회대로 74   19 11층 1호,2021-01-07,()
이수창업투자,02-3482-2010,02-3482-2015,www.isuvc.com,10명 (남:8명/여:2명),114-81-97399,12월,"(06221)  서울시 강남구 언주로 85길 24   (역삼동, 유니팜타워 8층)",2000-03-23,"김경문 차장
(02-6207-7995)"
이앤벤처파트너스,02-569-3456,02-569-3451,0,7명 (남:5명/여:2명),485-81-00990,12월,(06211)  서울특별시 강남구 테헤란로 326   역삼아이타워 16층,2018-02-22,"안현정 부장
(02-569-3456)"
이에스인베스터,02-3474-8750,02-3474-8760,www.esinvestor.com/,10명 (남:7명/여:3명),120-86-00725,12월,"(06227)  서울특별시 강남구 논현로 340 (역삼동 769,정빌딩)   5층",2000-03-02,"박상준 부장
(02-3474-8758)"
이크럭스벤처파트너스,02-569-4560,02-569-4561,0,5명 (남:4명/여:1명),162-81-01553,12월,(06252)  서울특별시 강남구 강남대로 320   황화빌딩 1704호,2020-06-01,"염경진 팀장
(01052690119)"
인라이트벤처스,533419222,533419223,www.enlightvc.com,19명 (남:10명/여:9명),575-81-00764,12월,(41585)  대구 북구 호암로 51   대구삼성창조캠퍼스 메이커스페이스동,2017-07-10,"김해영 차장
(0533419222)"
인비저닝파트너스,02-2289-6273,02-6280-6271,0,9명 (남:3명/여:6명),625-81-02408,12월,(04778)  서울특별시 성동구 왕십리로6길 21   4층,2021-08-13,"김지연 팀장
(02-2289-6273)"
인사이트에퀴티파트너스,02-3487-5375,02-3487-5376,0,10명 (남:8명/여:2명),769-88-00771,12월,(06253)  서울특별시 강남구 강남대로 318   15층 1502호,2017-08-09,"박혜주 과장
(0234875375)"
인탑스인베스트먼트,25672500,25673535,0,8명 (남:6명/여:2명),640-87-00833,12월,(06083)  서울특별시 강남구 봉은사로 617   인탑스빌딩 2층,2018-04-17,"박하얀 대리
(025672500)"
인터밸류파트너스,02-564-0494,02-564-6540,www.intervaluep.com,12명 (남:9명/여:3명),687-87-00526,12월,"(06164)  서울특별시 강남구 테헤란로87길 22   605호 (삼성동, 한국도심공항)",2016-11-09,"원윤정 이사
(02-564-0494)"
인터베스트,02-551-7340,02-551-7350,0,27명 (남:20명/여:7명),120-81-94228,12월,(06164)  서울특별시 강남구 영동대로 511   트레이드타워 1701호,1999-09-14,"신혜숙 이사
(02-551-7356)"
인피니툼파트너스,02-6137-9270,02-6137-9271,0,4명 (남:4명/여:0명),792-87-01792,12월,(07326)  서울특별시 영등포구 국제금융로 10   Two IFC 12층 1204호,2020-09-29,"박태운 상무
(01093316305)"
일신창업투자,02-767-6400,02-786-6051,www.iic.co.kr,8명 (남:5명/여:3명),409-81-09847,12월,(62413)  광주광역시 광산구 평동산단1번로 71   (옥동),1990-01-23,"최지연 대리
(02-767-6452)"
일진투자파트너스,02-707-9745,02-707-9745,0,8명 (남:5명/여:3명),794-87-02370,12월,"(04167)  서울특별시 마포구 마포대로 45   15층(도화동, 일진빌딩)",2021-04-06,"양기호 차장
(027079745)"
임팩트스퀘어,070-4256-0916,02-6937-0916,www.impactsquare.com,4명 (남:3명/여:1명),120-87-60341,12월,(04766)  서울특별시 성동구 서울숲길 53   4층 임팩트스퀘어,2010-10-04,"전승범 수석매니저
(010-7738-5412)"
임팩트파트너스,031-229-3565,031-229-3540,www.impactpartners.kr/,8명 (남:6명/여:2명),133-88-01229,12월,"(16914)  경기도 용인시 기흥구 구성로 357   8층 비805호(청덕동, 용인테크노밸리 지식산업센터)",2019-09-23,"진기준 대표이사
(010-5114-4868)"
제이씨에이치인베스트먼트,070-8221-3056,02-6937-0648,0,6명 (남:6명/여:0명),207-87-02202,12월,(41260)  대구광역시 동구 동대구로 465 (신천동)   505호,2021-09-09,"정윤섭 부장
(010-4114-9527)"
제이앤티인베스트먼트,02-538-2280,02-538-2281,0,4명 (남:3명/여:1명),220-87-96585,12월,(07324)  서울특별시 영등포구 여의동로3길 10 여의도자이   501동 2007호,2010-03-18,"문수경 대리
(070-8708-3779)"
제이엑스파트너스,02-569-4661,02-569-4659,0,6명 (남:4명/여:2명),779-81-00556,12월,"(06181)  서울특별시 강남구 테헤란로98길   15, 8층(대치동, 송강빌딩)",2016-10-21,"김서현 대리
(010-2101-4506)"
제이커브인베스트먼트,02-525-7999,02-525-7998,0,3명 (남:3명/여:0명),574-87-01933,12월,(06646)  서울특별시 서초구 반포대로28길 42   우신 1557빌딩 5층,2021-02-16,"이시현 사원
(010-7728-5286)"
제피러스랩,070-4219-7808,0,zephyruslab.co.kr/,9명 (남:8명/여:1명),118-86-00907,12월,(48059)  부산광역시 해운대구 센텀동로 45   (우동) 3층,2017-10-01,"김병철 과장
(010-4118-1121)"
젠티움파트너스,02-773-0115,02-6442-7261,www.gentiumpartners.co.kr,5명 (남:4명/여:1명),730-87-01173,12월,(04349)  서울특별시 용산구 이태원로27길 62   (이태원동),2018-11-20,"박현준 대표이사
(010-7166-3560)"
지노바인베스트먼트,221831240,02-2183-1246,0,3명 (남:3명/여:0명),191-81-02074,12월,(06211)  서울특별시 강남구 테헤란로 322   서관 2106호,2021-01-13,"신상훈 수석심사역
(010-7180-0860)"
지비벤처스,02-6956-5850,070-8224-5850,0,10명 (남:8명/여:2명),518-81-01931,12월,(06180)  서울특별시 강남구 테헤란로 518   섬유센터 3층,2020-08-26,"이명진 계장
(010-8835-6273)"
지앤텍벤처투자,02-549-8045,02-549-8060,www.gntechvc.co.kr,9명 (남:6명/여:3명),211-86-94062,12월,(06180)  서울 강남구 테헤란로 516   정헌빌딩 9층,2000-03-27,"김동진 전무
(02-6951-5053)"
지엘창업투자,02-2202-8828,070-5089-3368,0,5명 (남:4명/여:1명),160-87-00899,12월,"(36759)  경상북도 안동시 풍천면 천년숲동로 10-10   10-13, 414호",2018-04-09,"조윤희 대표이사
(0222028828)"
지온인베스트먼트,031-8023-7392,031-8023-6503,www.geoninvestment.com/,4명 (남:3명/여:1명),120-87-44021,12월,(13487)  경기도 성남시 분당구 대왕판교로   645번길 14 네오위즈판교타워,2009-08-28,"김유나 팀장
(031-8023-7392)"
지유투자,02-561-5274,02-2135-5308,www.guequity.co.kr,8명 (남:5명/여:3명),271-87-00660,12월,"(06167)  서울특별시 강남구 테헤란로 87길   29, 801호, 802호(삼성동, M타워)",2017-02-21,"방다영 팀장
(02-561-5274)"
진앤투자파트너스,031-781-7222,031-8018-7222,0,7명 (남:5명/여:2명),339-86-02026,12월,"(13494)  경기도 성남시 분당구 대왕판교로 670 (삼평동, 유스페이스2)   B동 505호(삼평동, 유스페이스2)",2020-05-14,"윤선아 팀장
(031-781-7222)"
카이로스벤처파트너스,02-783-0227,02-783-0228,0,5명 (남:5명/여:0명),427-88-02220,12월,"(07327)  서울특별시 영등포구 여의나루로 67 (여의도동, 신송빌딩)   905호",2021-06-03,"박상진 과장
(01041208117)"
카카오벤처스,031-602-1020,031-8061-0775,kcubeventures.co.kr,19명 (남:12명/여:7명),220-88-35402,12월,(13524)  경기도 성남시 분당구 판교역로192번길 12   판교미래에셋센터 6층,2012-03-29,"김선우 매니저
(0262430305)"
캐피탈원,02-595-7450,02-595-7577,0,11명 (남:10명/여:1명),214-88-44380,12월,"(07237)  서울 영등포구 국회대로70길 18   (여의도동, 한양빌딩 405호)",2009-07-13,()
캡스톤파트너스,02-575-1210,02-575-3134,www.cspartners.co.kr,15명 (남:11명/여:4명),220-87-60132,12월,"(06248)  서울특별시 강남구 역삼로 180   4층(역삼동, 마루180)",2008-01-03,"방문형 대리
(025541295)"
컴퍼니케이파트너스,02-568-8470,02-568-8350,www.kpartners.co.kr,16명 (남:10명/여:6명),211-87-88121,12월,"(06174)  서울특별시 강남구 테헤란로 620   14층 (대치동, 미래에셋타워)",2006-10-18,"신동임 이사
(02-568-8510)"
케이그라운드벤처스,02-3443-4579,02-3448-4579,0,4명 (남:4명/여:0명),742-86-01150,02월,(06118)  서울특별시 강남구 논현로115길 71   5층 502호(스페이스모노빌딩),2018-08-09,"신도현 팀장
(02-3443-4579)"
케이넷투자파트너스,02-3473-7117,02-3473-7119,0,7명 (남:6명/여:1명),214-88-34543,12월,"(06644)  서울 서초구 서초중앙로 123   15층 (서초동, 삼남타워)",2008-11-11,"김희창 전무
(02-3473-7118)"
케이런벤처스,02-553-9003,02-553-9008,www.krunventures.com,5명 (남:3명/여:2명),809-88-00308,12월,"(06181)  서울특별시 강남구 테헤란로98길 15   7층 (대치동, 송강빌딩)",2015-10-28,"박예은 과장
(02-553-9003)"
케이브릿지벤처스,02-6951-2917,02-6951-2918,www.kbridgeventures.com,4명 (남:3명/여:1명),697-87-01954,12월,"(06141)  서울특별시 강남구 테헤란로29길 10 (역삼동, 정안빌딩)   3층",2021-05-03,"김지환 이사
(02-6951-2917)"
케이브릿지인베스트먼트,051-731-5222,051-731-5633,0,3명 (남:2명/여:1명),412-87-00413,12월,(48059)  부산 해운대구 센텀동로 45   웹스건물 4층 401호,2016-01-27,"권민정 이사
(051-731-5222)"
케이비인베스트먼트,02-545-5091,02-545-5092,0,68명 (남:50명/여:18명),220-81-31799,12월,"(06072)  서울특별시 강남구 영동대로   731, 9층",1990-03-27,"장윤숙 팀장
(02-3015-4777)"
케이씨벤처스,02-566-6911,02-566-6917,0,6명 (남:3명/여:3명),795-86-01270,12월,"(06212)  서울특별시 강남구 테헤란로 52길 17   14층(역삼동, 이에스타워)",2018-12-17,"박상진 대리
(02-566-6920)"
케이액셀러레이터,02-786-0655,0,0,3명 (남:2명/여:1명),474-87-01462,12월,"(07327)  서울특별시 영등포구 국제금융로 20   11층 (여의도동, 율촌빌딩)",2019-02-07,"양혜경 수석심사역
(027610990)"
케이앤투자파트너스,02-567-0380,02-567-0381,0,12명 (남:10명/여:2명),445-87-00164,12월,"(06236)  서울 강남구 테헤란로22길 13   9층 (역삼동, 예동빌딩)",2015-08-26,"최유리 팀장
(02-567-0380)"
케이엘피인베스트먼트,02-2039-1431,02-2039-1432,0,2명 (남:2명/여:0명),876-86-02092,12월,"(07332)  서울특별시 영등포구 여의대방로65길 23 (여의도동, 포레스텔빌딩)   601호",2021-11-01,"김주호 팀장
(010-4435-9771)"
케이오씨파트너스,02-575-0501,02-6008-0503,kocpartners.co.kr/,3명 (남:1명/여:2명),853-81-01834,12월,(02455)  서울특별시 동대문구 회기로 85   9413호(청량리동),2020-05-01,"박문정 매니저
(02-575-0501)"
케이제이앤투자파트너스,02-565-8846,02-565-8847,0,4명 (남:3명/여:1명),329-87-01181,12월,(06194)  서울특별시 강남구 테헤란로78길 14-8   9층 2호(대치동),2018-06-01,"최부안 팀장
(010-6313-2748)"
케이클라비스인베스트먼트,02-6905-6800,02-6905-6899,www.kclavis.com,13명 (남:9명/여:4명),696-87-00253,12월,(07326)  서울시 영등포구 국제금융로 10   여의도동 Three IFC 29층,2015-10-23,"장예진 차장
(02-6905-6803)"
케이투인베스트먼트파트너스,02-566-0526,02-6919-2465,0,9명 (남:6명/여:3명),120-87-71019,12월,(06166)  서울특별시 강남구 테헤란로87길 39   심스빌딩 4층,2011-07-21,"방승옥 이사
(02-566-0526)"
KTB네트워크,031.628.6400,031.628.6499,www.ktbnetwork.com,41명 (남:28명/여:13명),220-87-68075,12월,(13494)  경기 성남시 분당구 대왕판교로 670   유스페이스2 제10층 제에이,2008-06-27,"이지현 팀장
(031-628-6414)"
코나벤처파트너스,220165600,220165601,0,7명 (남:4명/여:3명),864-87-00860,12월,(06164)  서울특별시 강남구 테헤란로87길 36   602호,2018-01-29,"서연정 차장
(02-2016-5600)"
코나인베스트먼트,02-508-0610,02-508-0612,0,8명 (남:5명/여:3명),533-87-00855,12월,(06197)  서울특별시 강남구 선릉로86길 26   4층(대치동),2018-01-26,"윤경수 수석심사역
(01090860126)"
코리아에셋투자증권,02-560-6387,25606390,www.kasset.co.kr,13명 (남:11명/여:2명),120-81-97564,03월,(07327)  서울특별시 영등포구 여의나루로 57   신송센터빌딩 12층,2000-01-07,"이건섭 상무
(02-560-6365)"
코메스인베스트먼트,02-558-1996,02-558-1995,0,6명 (남:4명/여:2명),275-88-00465,12월,"(06178)  서울특별시 강남구 테헤란로84길 14   13층 (대치동, 지어로빌딩)",2017-01-16,"김기리 대리
(02-558-1996)"
코벤트 캐피탈 파트너스,1088312875,5042902875,WWW.COVENTLAB.COM,5명 (남:5명/여:0명),628-86-01382,12월,"(04147)  서울특별시 마포구 백범로31길 21 (공덕동, 서울창업허브,서울복지타운)   서울창업허브 본관2층 203호",2019-10-24,"윤영준 대표이사
(01088312875)"
코스넷기술투자,042-825-1610,042-822-3825,0,4명 (남:3명/여:1명),314-86-57731,12월,(25566)  강원도 강릉시 강릉대로 442   5층,2014-02-18,"이현 상무
(01037101755)"
코오롱인베스트먼트,02 2052 2310,02 2052 2319,www.koloninvest.com,20명 (남:13명/여:7명),220-81-80271,12월,"(06174)  서울특별시 강남구 테헤란로   620, 16층",2000-03-10,"김영빈 차장
(02-2052-2314)"
쿨리지코너인베스트먼트,02-2183-2740,02-2183-2750,www.ccvc.co.kr,12명 (남:8명/여:4명),220-87-98211,12월,"(06180)  서울특별시 강남구 테헤란로 516   2층(대치동, 정헌빌딩)",2010-03-26,"최미란 과장
(02-2183-2758)"
